,Name,Rating,Phone Number,URL
0,LA Gardening Limited,5.0,01277 281200,http://www.lagardeningservices.co.uk/
1,Stock Gardens Ltd,4.8,01277 657500,https://www.stockgardens.co.uk/
2,Lewis Landscapes Essex Ltd,4.6,07581 539935,Unknown
3,Essex Gardening Services - Gardener Grass Cutting Hedge Cutting Shrub Cutting Garden Clearance Garden Tidy,4.5,07877 851198,http://www.essexgardeningservices.co.uk/
4,ACH Landscapes,4.9,01708 721175,http://www.achlandscapes.co.uk/
5,Back in a Mow - Garden Maintenance,5.0,07851 630472,https://backinamow.co.uk/
6,Anglian Garden Services Ltd,4.6,07946 629724,http://www.angliangardenservices.co.uk/
7,Down 2 Earth Garden Services & Maintenance,4.8,07973 759489,http://www.down-2-earth.co.uk/
8,The Essex Garden Co.,5.0,01277 410691,http://www.theessexgarden.co/
9,D R H Landscapes LTD,4.7,01376 514142,https://www.drhlandscapes.com/
10,Loughton Gardens and landscapes,5.0,07789 933081,http://www.loughtongardens.com/
11,Sainsbury’s garden services,5.0,07540 650247,http://sainsburysgardenservices.com/
12,Basildon Grass Cutting Service,4.6,07904 387173,https://basildongrasscutting.com/
13,Bobby's Gardening Services Ltd,4.8,07961 546929,http://www.bobbysgardeningservices.co.uk/
14,Harlow Garden Services,4.7,07858 371582,http://www.harlowgardenservices.co.uk/
15,Family Tree Gardens,4.6,01277 656336,Unknown
16,IDEAL LANDSCAPES LTD,5.0,07446 887046,http://ideal-landscapes.co.uk/
17,Life In The Garden Ltd,4.8,07714 090341,http://www.lifeinthegardenltd.co.uk/
18,All Seasons Garden Services,4.5,01268 638406,https://www.allseasonsgs.co.uk/
19,"Holland Landscapes - Landscapers, Essex, Suffolk, London, Colchester",5.0,01206 251997,https://hollandscapes.co.uk/
